sample_number;quantity;copper;zinc;calcium;gold;silver;organic
5;83;1.68;10.33;2.7;0.4;0.18;100.5
5;89;2.16;13.33;3;0.5;0.4;98.1
5;81;1.89;8;2.7;0.4;0.32;96.3
5;72;1.95;12;2.5;0.6;0.26;96.6
5;85;2.43;11.33;3;0.4;0.24;93.3
5;120;1.83;18.67;4;0.4;0.28;94.8
5;120;1.83;18.67;4;0.4;0.28;94.8
5;95;2.4;11.67;3.2;0.4;0.28;87.9
5;56;2.01;6;2;0.6;0.64;94.8
6;75;2.31;9.33;2.7;0.4;0.38;87.9
5;103;2.43;14.33;3.5;0.3;0.26;94.8
5;171;2.13;8.33;5.2;0.5;0.28;94.8
5;62;1.95;0.67;2.2;0.4;0.27;92.1
5;78;1.8;13;2.7;0.3;0.16;94.5
5;91;1.44;7.33;3;0.3;0.17;101.4
5;103;1.77;10.67;3.5;0.3;0.17;102.3
5;90;1.77;13.33;3;0.7;0.12;106.5
5;81;1.83;8.33;2.7;0.4;0.28;90.9
6;97;2.07;6;3.2;0.4;0.27;92.7
5;78;1.92;9.67;2.7;0.6;0.25;92.7
5;66;1.71;7.33;2.5;0.4;0.31;99.3
5;60;2.25;9;2.2;0.7;0.23;91.5
5;56;2.1;8.33;2;0.5;0.2;86.4
5;74;2.01;5;2.5;0.4;0.24;94.5
5;102;2.01;9.33;3.5;0.4;0.48;93.9
5;102;2.01;9.33;3.5;0.4;0.48;93.9
5;99;1.68;9;3.2;0.3;0.26;102
5;151;2.58;14.5;4.7;0.5;0.36;90.9
5;82;1.86;13;2.7;0.6;0.2;92.4
6;138;1.5;7.67;4.4;0.6;0.33;102.3
5;96;2.07;15;3.2;0.5;0.23;84
5;53;1.77;4;2;0.5;0.44;96.6
5;78;1.71;8.33;2.7;0.4;0.24;101.1
5;64;1.83;6.33;2.2;1;0.15;95.7
5;88;1.62;9;3;0.4;0.33;99
6;103;1.56;15.67;3.5;0.4;0.19;106.5
5;107;1.32;10.33;3.5;0.4;0.32;103.8
5;98;1.17;9.67;3.2;0.4;0.23;107.1
5;102;1.71;11;3.5;0.5;0.21;99.9
5;98;1.5;11.33;3.2;0.5;0.24;92.1
5;98;1.47;11.33;3.2;0.5;0.24;92.1
5;70;2.31;7.67;2.5;0.5;0.31;93.9
5;57;1.74;4;2.2;0.4;0.2;97.5
5;114;2.04;11.33;3.7;0.4;0.25;96.3
5;115;1.98;12;3.7;0.4;0.24;95.7
5;115;1.98;12;3.7;0.4;0.24;95.7
5;114;2.04;11.33;3.7;0.4;0.25;96.3
5;117;2.04;11.67;3.7;0.4;0.28;94.8
5;60;1.68;4;2.2;0.4;0.26;97.5
3;48;1.68;6.67;2;0.5;0.34;100.8
5;46;1.95;4.33;1.7;0.5;0.36;93
6;105;1.83;6.33;3.5;0.5;0.55;100.8
5;73;2.46;10;2.5;0.4;0.28;92.7
5;79;1.74;13.33;2.7;0.4;0.28;101.7
5;73;2.46;10;2.5;0.4;0.28;92.7
5;119;2.07;13.33;3.7;0.3;0.24;96
1;84;1.56;8;3;0.4;0.36;103.2
5;37;1.74;7;1.5;0.6;0.2;103.2
5;119;2.22;9;3.7;0.5;0.24;98.4
6;94;1.74;13.33;3.2;0.4;0.26;102.6
6;94;1.74;13.33;3.2;0.4;0.26;102.6
5;87;2.1;9;3;0.4;0.24;91.8
5;127;2.07;12.67;4;0.6;0.2;100.5
5;97;2.37;11;3.2;0.3;0.25;91.8
5;150;1.83;23.33;4.7;0.4;0.31;102.6
5;131;2.73;5;4.2;0.4;0.27;90.9
5;114;1.89;16;3.7;0.5;0.21;102.6
6;82;2.07;3.33;2.7;0.9;0.41;90
5;79;2.13;10.67;2.7;0.3;0.29;92.1
5;131;2.4;15.33;4.2;0.3;0.44;94.8
5;77;2.25;2.67;2.7;0.6;0.2;91.8
5;141;2.19;16;4.4;0.3;0.22;90.3
5;102;2.55;5.67;3.5;0.4;0.15;90.9
5;102;2.55;5.67;3.5;0.4;0.15;90.9
5;89;2.25;14.67;3;0.5;0.32;92.1
5;89;2.25;14.67;3;0.5;0.32;92.1
5;79;2.76;13.33;2.7;0.3;0.23;88.2
1;91;1.98;16;3;0.3;0.55;94.2
6;147;2.31;13.67;4.7;0.4;0.44;93.6
6;147;2.31;13.67;4.7;0.4;0.44;93.6
6;147;2.31;13.67;4.7;0.4;0.44;93.6
5;117;2.07;11.33;3.7;0.4;0.37;93
5;124;2.22;13.67;4;0.4;0.21;94.5
5;64;2.16;9;2.2;0.3;0.16;99.9
6;152;1.89;10.67;4.7;0.6;0.28;101.7
5;131;2.01;6.67;4.2;0.8;0.31;100.8
5;72;2.55;10.33;2.5;0.3;0.25;90.3
5;41;1.89;2;1.7;0.3;0.24;99
5;72;2.55;10.33;2.5;0.3;0.25;90.3
5;108;2.13;4.33;3.5;0.5;0.26;95.7
5;108;2.13;4.33;3.5;0.5;0.26;95.7
6;121;2.25;9.33;4;0.4;0.31;94.8
5;95;2.1;12.67;3.2;0.6;0.32;101.4
5;95;2.1;12.67;3.2;0.6;0.32;101.4
5;78;2.25;8;2.7;0.5;0.23;90
5;98;2.43;7.67;3.2;0.5;0.4;91.5
5;174;2.34;15.67;5.4;0.6;0.32;92.1
5;174;2.34;15.67;5.4;0.6;0.32;92.1
6;76;2.58;4.33;2.7;0.4;0.23;93.3
5;165;1.86;21.33;5.2;0.6;0.26;99.3
5;73;2.28;11;2.5;0.7;0.1;91.8
5;79;1.65;5.33;2.7;0.4;0.15;97.8
5;53;1.98;4.33;2;0.6;0.17;95.1
5;77;1.83;12.33;2.7;0.6;0.16;102
5;53;1.86;7.33;2;0.5;0.2;97.2
5;53;1.86;7.67;2;0.5;0.18;96.9
6;150;1.83;16.33;4.7;0.5;0.37;96.6
5;74;1.92;12.33;2.5;0.6;0.12;90.3
5;69;1.86;6.67;2.5;0.3;0.36;91.8
5;127;1.77;15.67;4;0.6;0.28;92.4
5;113;1.56;14;3.7;0.4;0.34;97.5
5;125;1.56;15.33;4;0.3;0.31;94.2
5;78;1.98;7.33;2.7;0.8;0.29;94.5
5;143;1.83;16.67;4.4;0.4;0.3;101.7
5;143;1.83;16.67;4.4;0.4;0.3;101.7
6;66;2.19;9.67;2.5;0.4;0.23;87
5;73;1.98;9;2.5;0.3;0.16;96.9
5;98;1.8;8.67;3.2;0.7;0.2;101.4
5;67;2.04;7.33;2.5;0.6;0.19;92.4
5;60;2.16;9;2.2;0.3;0.27;90.9
6;139;1.8;16.33;4.4;0.5;0.33;102.3
6;139;1.8;16.33;4.4;0.5;0.33;102.3
6;139;1.8;16.33;4.4;0.5;0.33;102.3
6;14;2.25;1.67;1;0.4;0.34;90.3
5;60;2.07;6.67;2.2;0.4;0.26;93.6
5;60;2.07;6.67;2.2;0.4;0.26;93.6
5;103;2.16;13.33;3.5;0.4;0.16;93.6
5;102;2.04;9;3.5;0.4;0.45;91.8
5;102;2.04;9;3.5;0.4;0.45;91.8
6;53;2.16;3.33;2;0.5;0.33;89.1
5;100;1.98;8.67;3.2;0.7;0.32;102
6;114;1.77;7;3.7;0.5;0.44;97.2
5;75;2.58;12.67;2.7;0.3;0.22;84.9
5;119;1.83;11;3.7;0.5;0.28;96.6
6;96;1.5;8;3.2;0.4;0.35;101.7
6;96;1.5;8;3.2;0.4;0.35;101.7
5;94;2.01;10.33;3.2;0.4;0.32;93.6
5;91;1.83;8.33;3;0.3;0.22;90.9
5;91;1.83;8.33;3;0.3;0.22;90.9
5;120;1.59;17.67;4;0.5;0.31;100.2
5;120;1.59;17.67;4;0.5;0.31;100.2
5;114;1.83;13.67;3.7;0.3;0.24;97.5
6;110;1.59;15;3.5;0.6;0.4;99.3
6;86;1.74;9.33;3;0.4;0.32;89.1
6;102;1.74;12.67;3.5;0.6;0.39;96
5;77;1.68;11;2.7;0.6;0.33;104.7
5;196;1.95;18;5.9;0.4;0.28;90.9
5;40;1.59;1;1.7;0.4;0.6;98.1
5;92;1.98;9.33;3;0.6;0.17;97.5
6;48;1.68;4;2;0.3;0.25;99.3
5;98;1.92;7.67;3.2;0.5;0.23;99.6
3;144;1.5;11.67;4.4;0.5;0.55;105.9
5;115;2.04;12.33;3.7;0.4;0.24;96
5;161;2.1;20;4.9;0.6;0.3;95.4
5;161;2.1;20;4.9;0.6;0.3;95.4
5;63;1.92;10.67;2.2;0.4;0.19;99
5;45;2.13;4;1.7;0.4;0.23;97.5
5;131;2.16;16.33;4.2;0.4;0.2;94.8
5;75;2.22;3;2.7;0.4;0.24;92.7
5;113;2.04;15.67;3.7;0.5;0.25;101.1
5;21;2.58;4.33;1.2;0.3;0.27;86.7
5;108;2.07;7.67;3.5;0.5;0.31;101.1
5;87;2.13;10.67;3;0.5;0.28;97.5
5;92;2.19;8;3;0.5;0.32;96.6
5;90;2.49;11.67;3;0.6;0.21;90.6
5;156;2.07;17;4.9;0.3;0.2;96.6
5;101;2.07;8;3.2;0.4;0.23;94.2
5;110;1.86;10;3.5;0.4;0.3;98.4
5;128;2.07;11.67;4;0.6;0.24;103.5
5;93;2.13;10.33;3.2;0.4;0.26;101.1
5;136;2.19;20;4.2;0.4;0.23;93.3
6;47;2.43;3.33;1.7;0.5;0.31;92.4
5;35;2.52;1.33;1.5;0.3;0.29;87.3
5;76;1.8;9;2.7;0.4;0.26;101.4
5;111;2.04;12.67;3.7;0.4;0.33;95.7
5;58;2.4;7;2.2;0.4;0.2;92.4
5;86;2.28;2;3;0.4;0.26;94.5
5;192;2.01;18.67;5.9;0.6;0.3;96.6
5;41;2.55;3.67;1.7;0.4;0.25;91.8
5;107;2.1;14;3.5;0.4;0.19;99.3
5;141;2.25;10.33;4.4;0.4;0.3;88.5
5;129;2.01;13;4.2;0.5;0.17;102
6;78;1.89;8.33;2.7;0.4;0.41;94.8
6;77;2.64;4;2.7;0.4;0.24;93.9
5;120;2.13;12;4;0.5;0.34;100.5
5;125;2.07;4.33;4;0.5;0.34;92.1
3;122;1.77;10;4;0.4;0.28;98.4
3;122;1.77;10;4;0.4;0.28;98.4
5;60;2.1;9.67;2.2;0.4;0.16;96.9
6;100;2.16;7.67;3.2;0.7;0.35;87.9
6;79;2.01;6.33;2.7;0.5;0.44;97.8
5;51;2.01;4.67;2;0.4;0.19;99.3
5;51;2.01;4.67;2;0.4;0.19;99.3
5;95;1.68;11;3.2;0.5;0.19;100.8
5;94;2.1;10;3.2;0.6;0.28;93.6
5;64;1.92;8;2.2;0.6;0.2;99.3
5;112;2.52;7;3.7;0.4;0.36;88.5
5;58;2.58;8.33;2.2;0.4;0.18;89.7
5;72;2.22;4.33;2.5;0.5;0.28;90.3
5;158;1.5;19.33;4.9;0.3;0.27;103.5
5;158;1.5;19.33;4.9;0.3;0.27;103.5
5;105;1.98;3;3.5;0.8;0.35;99.6
5;2;2.91;1;0.5;0.5;0.24;85.5
5;2;2.91;1;0.5;0.5;0.24;85.5
5;101;2.04;13.33;3.2;0.5;0.21;95.4
5;71;1.98;8.67;2.5;0.3;0.24;93.9
5;73;1.89;12;2.5;0.4;0.22;98.1
5;75;1.77;12;2.7;0.6;0.24;92.4
5;67;1.95;10.33;2.5;0.4;0.43;90.6
5;67;1.95;10.33;2.5;0.4;0.43;90.6
6;91;1.86;10.33;3;0.4;0.3;89.1
6;91;1.86;10.33;3;0.4;0.3;89.1
5;118;2.22;14.33;3.7;0.5;0.29;93
5;128;2.67;10.67;4;0.5;0.3;94.5
5;128;2.67;10.67;4;0.5;0.3;94.5
5;194;2.16;11.33;5.9;0.5;0.37;93
5;194;2.16;11.33;5.9;0.5;0.37;93
6;66;1.86;6.33;2.5;0.3;0.37;91.2
6;66;1.86;6.33;2.5;0.3;0.37;91.2
6;144;2.31;14;4.4;0.5;0.43;98.7
5;43;2.37;4.33;1.7;0.4;0.35;89.7
5;72;2.16;10;2.5;0.4;0.24;93
5;58;1.98;6.33;2.2;0.6;0.64;93.3
5;58;1.98;6.33;2.2;0.6;0.64;93.3
5;84;2.1;14;3;0.4;0.24;94.8
6;118;2.19;10;3.7;0.4;0.31;87
5;95;1.74;15.33;3.2;0.6;0.32;94.8
5;95;1.74;15.33;3.2;0.6;0.32;94.8
5;54;2.19;8.67;2;0.4;0.41;88.8
5;149;2.07;9.67;4.7;0.4;0.58;98.4
5;89;2.25;12;3;0.4;0.26;89.1
5;117;1.77;22.67;3.7;0.4;0.18;96.3
5;98;2.16;13.33;3.2;0.5;0.58;95.1
6;152;1.92;17.67;4.7;0.6;0.2;97.2
6;111;1.95;8.33;3.7;0.5;0.43;96.9
6;65;1.65;7.67;2.2;0.4;0.28;102.6
5;110;2.04;6;3.5;0.6;0.29;91.5
5;173;2.22;9.67;5.2;0.7;0.26;93
5;30;1.8;5.67;1.5;0.7;0.19;92.4
5;114;2.13;8;3.7;0.4;0.09;89.7
6;104;1.5;13.33;3.5;0.4;0.33;95.4
5;53;1.86;4.33;2;0.7;0.36;87
3;30;1.8;2.67;1.5;0.4;0.62;94.2
5;112;1.83;14.33;3.7;0.5;0.44;97.8
5;112;1.83;14.33;3.7;0.5;0.44;97.8
6;71;1.92;5;2.5;0.5;0.4;97.8
5;93;2.01;9.67;3.2;0.7;0.35;93.9
5;93;2.01;9.67;3.2;0.7;0.35;93.9
5;128;1.8;21;4;0.4;0.14;99.6
5;128;1.8;21;4;0.4;0.14;99.6
5;80;1.65;11.67;2.7;0.8;0.16;102.9
6;116;1.83;18;3.7;0.4;0.41;87.3
5;70;1.8;7.33;2.5;0.4;0.32;93
5;61;1.98;2.67;2.2;0.5;0.24;95.7
5;159;1.8;16.67;4.9;0.6;0.42;94.2
5;62;1.77;4;2.2;0.4;0.54;97.5
5;92;1.95;9.67;3;0.5;0.23;98.7
5;43;2.43;3.67;1.7;0.6;0.27;89.7
5;151;2.22;5.67;4.7;0.5;0.34;93.6
5;94;2.16;12.33;3.2;0.7;0.32;93
6;106;2.22;9.67;3.5;0.4;0.39;94.2
5;71;1.89;5.33;2.5;0.4;0.23;98.4
5;71;1.89;5.33;2.5;0.4;0.23;98.4
6;117;1.83;8.33;3.7;0.7;0.38;99
5;76;1.74;7.33;2.7;0.4;0.36;90.9
5;133;2.13;16;4.2;0.4;0.22;94.5
5;130;1.83;15.33;4.2;0.5;0.17;102.9
5;74;1.74;7.67;2.5;0.4;0.32;102.6
5;74;1.74;7.67;2.5;0.4;0.32;102.6
5;74;1.71;7.67;2.5;0.4;0.32;102.6
5;233;2.1;10.33;6.9;0.6;0.21;96.6
5;233;2.1;10.33;6.9;0.6;0.21;96.6
5;72;1.77;9.33;2.5;0.7;0.24;101.7
5;72;1.77;9.33;2.5;0.7;0.24;101.7
5;210;1.92;21.33;6.4;0.4;0.26;92.4
6;104;1.92;9.33;3.5;0.5;0.4;96.6
5;77;1.59;8.33;2.7;0.4;0.24;107.7
5;128;1.89;19.67;4;0.5;0.16;103.2
5;118;2.37;13.33;3.7;0.4;0.46;95.4
5;39;2.91;3.67;1.7;0.5;0.24;82.2
5;82;2.16;9.67;2.7;0.5;0.23;97.8
5;82;2.16;9.67;2.7;0.5;0.23;97.8
5;76;2.49;6;2.7;0.3;0.33;96
5;73;2.37;9;2.5;0.5;0.44;94.8
5;121;2.43;12;4;0.4;0.43;89.4
5;78;2.52;5.33;2.7;0.4;0.16;94.2
5;96;2.52;12.33;3.2;0.4;0.58;89.7
5;96;2.52;12.33;3.2;0.4;0.58;89.7
5;58;2.13;5.33;2.2;0.8;0.19;87.3
5;61;2.46;9.33;2.2;0.7;0.18;90
5;61;2.46;9.33;2.2;0.7;0.18;90
5;138;2.34;12.33;4.4;0.4;0.43;94.2
5;138;2.34;12.33;4.4;0.4;0.43;94.2
5;138;2.34;12.33;4.4;0.4;0.43;94.2
5;138;2.34;12.33;4.4;0.4;0.43;94.2
5;31;1.86;5.67;1.5;0.7;0.15;99
5;160;2.4;13;4.9;0.4;0.34;93.9
5;166;2.31;14;5.2;0.4;0.35;94.2
5;136;2.34;11;4.2;0.5;0.3;98.7
5;136;2.34;11;4.2;0.5;0.3;98.7
5;52;2.37;6.67;2;0.4;0.18;93.6
5;188;2.37;14.33;5.7;0.5;0.29;94.2
5;138;2.16;16.67;4.4;0.4;0.26;99.9
3;145;1.95;11.67;4.4;0.3;0.32;96.6
3;145;1.95;11.67;4.4;0.3;0.32;96.6
5;146;3;15;4.4;0.4;0.23;81.6
5;115;2.04;9;3.7;0.4;0.43;90
5;102;2.4;4.67;3.5;0.4;0.16;96
5;71;2.22;8.33;2.5;0.4;0.14;105.9
5;80;2.37;7.67;2.7;0.5;0.44;95.1
5;150;2.28;18;4.7;0.5;0.23;90
6;139;1.35;29.67;4.4;0.4;0.19;100.2
5;116;2.4;12;3.7;0.5;0.24;103.2
5;53;2.13;9;2;0.4;0.15;97.2
6;66;2.4;5;2.5;0.4;0.13;89.4
6;100;2.16;7.67;3.2;0.7;0.32;87.6
5;87;1.95;13;3;0.5;0.37;96.6
5;87;1.95;13;3;0.5;0.37;96.6
5;62;2.07;4.67;2.2;0.6;0.15;93
5;62;2.07;4.67;2.2;0.6;0.15;93
3;124;1.98;18.33;4;0.4;0.31;94.8
5;74;2.16;12.67;2.5;0.4;0.21;89.7
5;67;2.07;8;2.5;0.5;0.4;94.5
5;98;2.13;8.67;3.2;0.5;0.36;96
5;77;2.55;10;2.7;0.4;0.23;90.9
5;122;2.19;9.67;4;0.4;0.28;95.1
5;91;1.83;9.33;3;0.5;0.18;94.8
5;91;2.01;11.33;3;0.5;0.34;89.1
5;91;2.01;6.33;3;0.6;0.24;93
5;104;1.83;9.33;3.5;0.5;0.17;86.1
5;104;1.83;9.33;3.5;0.5;0.17;86.1
5;136;2.04;9.33;4.2;0.4;0.45;93.3
6;54;1.56;5.67;2;0.5;0.34;100.2
5;122;1.8;13.67;4;0.4;0.32;98.7
5;122;1.8;13.67;4;0.4;0.32;98.7
5;77;1.8;8.33;2.7;0.4;0.22;95.1
5;52;2.13;4;2;0.5;0.18;91.5
5;47;1.8;12.67;1.7;0.4;0.2;94.2
5;56;2.28;8.67;2;0.5;0.2;89.4
6;94;1.8;10;3.2;0.4;0.29;92.4
6;94;1.8;10;3.2;0.4;0.29;92.4
5;108;1.98;19.67;3.5;0.7;0.15;95.7
5;108;1.98;19.67;3.5;0.7;0.15;95.7
5;87;1.74;13.33;3;0.4;0.54;97.8
5;82;1.62;6.67;2.7;0.3;0.45;96.6
5;11;1.77;2.67;0.7;0.5;0.66;99.6
6;149;1.74;21.67;4.7;0.6;0.2;107.7
6;166;2.07;19.67;5.2;0.5;0.4;92.4
6;166;2.07;19.67;5.2;0.5;0.4;92.4
6;166;2.07;19.67;5.2;0.5;0.4;92.4
6;166;2.07;19.67;5.2;0.5;0.4;92.4
5;37;2.49;6.67;1.5;0.5;0.18;90.6
5;37;2.49;6.67;1.5;0.5;0.18;90.6
5;184;2.1;13;5.7;0.6;0.33;95.1
5;114;1.83;20.33;3.7;0.8;0.24;95.7
5;114;1.83;20.33;3.7;0.8;0.24;95.7
5;131;2.28;17.33;4.2;0.8;0.19;95.4
5;131;2.28;17.33;4.2;0.8;0.19;95.4
6;89;1.83;2.67;3;0.5;1.1;100.5
5;65;2.01;8.33;2.2;0.3;0.41;91.5
5;65;2.01;8.33;2.2;0.3;0.41;91.5
6;101;1.74;13;3.2;0.4;0.32;88.8
6;91;1.98;12;3;0.4;0.27;94.8
5;54;2.01;4;2;0.7;0.31;98.7
5;96;1.74;8.33;3.2;0.4;0.3;96
5;75;1.95;10.67;2.7;0.6;0.2;88.8
6;110;1.77;7.33;3.5;0.6;0.21;101.4
5;55;2.01;10.67;2;0.5;0.66;94.5
5;157;1.98;10.33;4.9;0.4;0.28;93.6
6;100;1.74;8.67;3.2;0.5;0.35;97.5
6;93;1.71;16.33;3.2;0.6;0.39;97.8
5;122;1.77;15;4;0.5;0.21;100.5
5;49;1.65;3.33;2;0.6;0.32;93.6
5;165;2.19;16;5.2;0.6;0.36;94.2
5;45;1.8;3;1.7;0.4;0.35;97.2
5;75;1.77;11.67;2.7;0.6;0.37;100.8
5;116;2.07;16;3.7;0.4;0.21;97.5
5;60;2.58;5;2.2;0.4;0.27;88.5
6;183;2.04;18.33;5.7;0.5;0.27;95.7
5;60;1.89;6.33;2.2;0.6;0.34;101.4
6;78;2.01;8.33;2.7;0.4;0.46;92.4
5;90;2.94;1.67;3;0.3;0.42;86.1
5;89;2.04;8.67;3;0.6;0.53;97.8
5;114;2.04;13;3.7;0.5;0.26;99.9
5;92;2.1;7.33;3;0.4;0.24;95.7
5;112;2.1;11.33;3.7;0.5;0.17;100.8
6;96;1.83;10.67;3.2;0.4;0.28;100.8
5;114;1.8;14;3.7;0.4;0.38;101.4
6;116;1.83;12.33;3.7;0.5;0.32;104.1
5;107;2.1;8.67;3.5;0.4;0.29;95.1
6;132;1.77;12.67;4.2;0.4;0.26;99.9
6;113;1.98;9;3.7;0.5;0.56;96
6;113;1.98;9;3.7;0.5;0.56;96
5;157;2.19;10;4.9;0.4;0.25;97.5
5;157;2.19;10;4.9;0.4;0.25;97.5
5;157;2.19;10;4.9;0.4;0.25;97.5
5;106;2.25;4;3.5;0.4;0.34;94.8
5;98;2.19;9.67;3.2;0.5;0.21;99
5;98;2.19;9.67;3.2;0.5;0.21;99
5;177;1.86;13.33;5.4;0.6;0.34;94.2
5;64;2.19;2.67;2.2;0.5;0.25;95.4
6;132;1.77;12;4.2;0.4;0.26;98.4
5;84;2.13;11;3;0.5;0.15;101.1
5;107;2.1;5.67;3.5;0.4;0.17;95.7
5;71;2.7;8.67;2.5;0.3;0.31;89.7
5;152;2.28;8.67;4.7;0.5;0.33;102.6
5;73;2.46;5.67;2.5;0.3;0.37;91.2
5;73;2.46;5.67;2.5;0.3;0.37;91.2
5;107;1.77;16.67;3.5;0.6;0.4;105.3
6;140;1.59;16;4.4;0.5;0.26;114.6
6;192;2.07;21.67;5.9;0.4;0.29;92.4
5;58;1.98;5;2.2;0.4;0.16;101.4
5;160;2.34;20.67;4.9;0.8;0.21;92.7
5;102;2.4;7.33;3.5;0.7;0.57;98.7
5;65;1.98;5;2.2;0.5;0.42;98.4
5;103;1.77;11;3.5;0.4;0.19;104.7
5;65;1.98;5;2.2;0.5;0.42;98.4
5;70;2.46;4;2.5;0.4;0.22;90.3
5;136;2.28;12.33;4.2;0.4;0.52;94.2
5;136;2.28;12.33;4.2;0.4;0.52;94.2
5;106;2.22;6.67;3.5;0.4;0.28;89.4
6;101;1.98;5.67;3.2;0.4;0.3;93.9
5;114;2.19;9.67;3.7;0.3;0.22;89.7
6;101;1.98;5.67;3.2;0.4;0.3;93.9
5;86;1.8;8.67;3;0.4;0.17;96.3
5;136;2.01;11.67;4.2;0.5;0.29;93.9
5;138;2.01;12;4.4;0.5;0.3;93.6
5;102;1.98;18.67;3.5;0.3;0.55;94.5
6;57;1.68;9;2.2;0.4;0.39;98.4
6;33;1.68;3.33;1.5;0.5;0.41;99.6
6;97;1.92;6;3.2;0.4;0.35;99.9
6;103;2.13;9.33;3.5;0.6;0.16;98.1
5;77;2.1;9.33;2.7;0.4;0.3;96.9
5;130;1.92;14.33;4.2;0.7;0.15;102.6
5;130;1.92;14.33;4.2;0.7;0.15;102.6
5;122;2.55;24.33;4;0.4;0.21;91.5
5;122;2.55;24.33;4;0.4;0.21;91.5
5;94;2.16;15.33;3.2;0.3;0.5;95.7
5;64;2.13;4.33;2.2;0.6;0.32;102.6
5;134;2.37;12.33;4.2;0.3;0.29;91.8
5;82;2.13;10;2.7;0.3;0.33;92.4
5;78;2.4;9;2.7;0.4;0.4;95.4
5;125;2.85;7.33;4;0.5;0.42;91.8
3;95;1.71;7.33;3.2;0.6;0.39;98.4
5;103;3.54;5;3.5;0.6;0.23;87.9
5;48;2.04;6.33;2;0.4;0.2;94.2
5;130;2.07;14;4.2;0.4;0.25;96.3
5;130;2.07;14;4.2;0.4;0.25;96.3
5;132;1.89;11.67;4.2;0.4;0.2;104.1
5;75;2.31;9;2.7;0.6;0.4;96.3
5;37;2.28;1.67;1.5;0.5;0.48;91.5
5;105;2.64;6.33;3.5;1;0.33;88.8
5;91;2.13;7.67;3;0.6;0.21;100.5
5;91;2.13;7.67;3;0.6;0.21;100.5
5;128;1.92;3;4;0.5;0.35;95.1
5;102;2.37;8.33;3.5;0.5;0.27;89.1
5;102;2.37;8.33;3.5;0.5;0.27;89.1
5;204;2.19;20.33;6.2;0.6;0.51;94.2
6;115;1.98;8.33;3.7;0.6;0.24;99.9
5;165;2.07;19.33;5.2;0.6;0.32;100.2
5;154;2.16;13.33;4.7;0.4;0.24;96
5;154;2.16;13.33;4.7;0.4;0.24;96
5;64;2.76;12;2.2;0.6;0.14;91.5
6;184;2.04;23.67;5.7;0.7;0.19;96.9
5;80;2.04;8.33;2.7;0.5;0.32;92.4
5;25;2.01;3;1.2;0.4;0.27;92.4
5;25;2.01;3;1.2;0.4;0.27;92.4
5;75;2.07;12;2.7;0.6;0.16;87.9
5;50;2.4;2.67;2;0.4;0.3;91.5
5;118;1.92;17.67;3.7;0.4;0.14;101.4
5;118;1.92;17.67;3.7;0.4;0.14;101.4
5;69;1.74;11.33;2.5;0.4;0.22;94.2
5;109;1.68;9.67;3.5;0.6;0.18;105.3
5;93;1.98;16;3.2;0.7;0.21;97.2
5;109;1.68;9.67;3.5;0.6;0.18;105.3
5;94;1.92;13.33;3.2;0.6;0.25;99.3
5;66;2.43;12;2.5;0.6;0.12;84
5;103;2.01;13;3.5;0.3;0.36;89.7
5;83;2.16;5.67;2.7;0.5;0.19;94.5
5;132;1.89;15;4.2;0.5;0.37;98.7
5;91;1.95;10.67;3;0.5;0.35;93.3
5;132;1.89;15;4.2;0.5;0.37;98.7
5;83;2.16;5.67;2.7;0.5;0.19;94.5
5;91;1.89;8.67;3;0.5;0.18;94.8
5;79;1.71;7;2.7;0.6;0.12;92.7
5;82;2.04;6.33;2.7;0.6;0.13;96.9
5;69;2.01;11.67;2.5;0.5;0.21;97.5
5;101;1.98;12.67;3.2;0.4;0.25;95.7
5;98;1.68;12;3.2;0.4;0.28;96.3
5;54;1.98;2.67;2;0.6;0.24;93
6;79;1.98;9.67;2.7;0.4;0.34;93
6;79;1.98;9.67;2.7;0.4;0.34;93
5;96;2.04;13;3.2;0.5;0.22;95.4
6;67;1.98;7.67;2.5;0.4;0.43;91.5
5;70;1.8;15.67;2.5;0.4;0.22;96.6
5;61;2.01;9.67;2.2;0.4;0.36;88.8
5;61;2.01;9.67;2.2;0.4;0.36;88.8
5;70;1.8;15.67;2.5;0.4;0.22;96.6
6;101;2.07;16.33;3.2;0.4;0.28;89.4
5;74;1.74;3;2.5;0.5;0.18;96.3
5;102;1.92;6;3.5;0.7;0.32;100.8
5;102;1.92;6;3.5;0.7;0.32;100.8
5;63;1.95;8.67;2.2;0.3;0.24;97.5
5;114;2.01;9.67;3.7;0.5;0.47;98.7
5;114;2.13;9.33;3.7;0.4;0.35;97.8
5;88;1.98;18.33;3;0.5;0.17;90
5;125;1.95;19.67;4;0.5;0.26;94.8
6;115;1.68;6;3.7;0.4;0.26;99.6
5;100;1.53;12;3.2;0.4;0.35;101.4
5;100;1.53;12;3.2;0.4;0.35;101.4
6;68;2.01;4;2.5;0.5;0.46;97.8
5;100;1.53;12;3.2;0.4;0.35;101.4
6;91;1.44;7.67;3;0.3;0.26;103.8
5;105;1.92;11;3.5;0.5;0.17;90.9
5;105;1.92;11;3.5;0.5;0.17;90.9
5;173;1.95;13.67;5.2;0.6;0.29;97.5
6;96;2.04;5.33;3.2;0.5;0.27;92.1
6;96;2.04;5.33;3.2;0.5;0.27;92.1
5;78;2.04;10.67;2.7;0.6;0.16;90.6
5;78;2.04;10.67;2.7;0.6;0.16;90.6
5;120;1.92;20.67;4;0.6;0.27;93
